date;Zuletzt
08.06.2009;5.004,72
05.06.2009;5.077,03
04.06.2009;5.064,80
03.06.2009;5.054,53
02.06.2009;5.144,06
01.06.2009;5.142,56
29.05.2009;4.940,82
28.05.2009;4.932,88
27.05.2009;5.000,77
26.05.2009;4.985,60
25.05.2009;4.918,45
22.05.2009;4.918,75
21.05.2009;4.900,67
20.05.2009;5.038,94
19.05.2009;4.959,62
18.05.2009;4.851,96
15.05.2009;4.737,50
14.05.2009;4.738,47
13.05.2009;4.727,61
12.05.2009;4.854,11
11.05.2009;4.866,91
08.05.2009;4.913,90
07.05.2009;4.804,10
06.05.2009;4.880,71
05.05.2009;4.853,03
04.05.2009;4.902,45
01.05.2009;4.769,45
30.04.2009;4.769,45
29.04.2009;4.704,56
28.04.2009;4.607,42
27.04.2009;4.694,07
24.04.2009;4.674,32
23.04.2009;4.538,21
22.04.2009;4.594,42
21.04.2009;4.501,63
20.04.2009;4.486,30
17.04.2009;4.676,84
16.04.2009;4.609,46
15.04.2009;4.549,79
14.04.2009;4.557,01
13.04.2009;4.491,12
09.04.2009;4.491,12
08.04.2009;4.357,92
07.04.2009;4.322,50
06.04.2009;4.349,81
03.04.2009;4.384,99
02.04.2009;4.381,92
01.04.2009;4.131,07
31.03.2009;4.084,76
30.03.2009;3.989,23
27.03.2009;4.203,55
26.03.2009;4.259,37
25.03.2009;4.223,29
24.03.2009;4.187,36
23.03.2009;4.176,37
20.03.2009;4.068,74
19.03.2009;4.043,46
18.03.2009;3.996,32
17.03.2009;3.987,77
16.03.2009;4.044,54
13.03.2009;3.953,60
12.03.2009;3.956,22
11.03.2009;3.914,10
10.03.2009;3.886,98
09.03.2009;3.692,03
06.03.2009;3.666,41
05.03.2009;3.695,49
04.03.2009;3.890,94
03.03.2009;3.690,72
02.03.2009;3.710,07
27.02.2009;3.843,74
26.02.2009;3.942,62
25.02.2009;3.846,21
24.02.2009;3.895,75
23.02.2009;3.936,45
20.02.2009;4.014,66
19.02.2009;4.215,21
18.02.2009;4.204,96
17.02.2009;4.216,60
16.02.2009;4.366,64
13.02.2009;4.413,39
12.02.2009;4.407,56
11.02.2009;4.530,09
10.02.2009;4.505,54
09.02.2009;4.666,82
06.02.2009;4.644,63
05.02.2009;4.510,49
04.02.2009;4.492,79
03.02.2009;4.374,96
02.02.2009;4.271,04
30.01.2009;4.338,35
29.01.2009;4.428,11
28.01.2009;4.518,72
27.01.2009;4.323,42
26.01.2009;4.326,87
23.01.2009;4.178,94
22.01.2009;4.219,42
21.01.2009;4.261,15
20.01.2009;4.239,85
19.01.2009;4.316,14
16.01.2009;4.366,28
15.01.2009;4.336,73
14.01.2009;4.422,35
13.01.2009;4.636,94
12.01.2009;4.719,62
09.01.2009;4.783,89
08.01.2009;4.879,91
07.01.2009;4.937,47
06.01.2009;5.026,31
05.01.2009;4.983,99
02.01.2009;4.973,07
30.12.2008;4.810,20
29.12.2008;4.704,86
26.12.2008;4.629,38
24.12.2008;4.629,38
23.12.2008;4.629,38
22.12.2008;4.639,02
19.12.2008;4.696,70
18.12.2008;4.756,40
17.12.2008;4.708,38
16.12.2008;4.729,91
15.12.2008;4.654,82
12.12.2008;4.663,37
11.12.2008;4.767,20
10.12.2008;4.804,88
09.12.2008;4.779,11
08.12.2008;4.715,88
05.12.2008;4.381,47
04.12.2008;4.564,23
03.12.2008;4.567,24
02.12.2008;4.531,79
01.12.2008;4.394,79
28.11.2008;4.669,44
27.11.2008;4.665,27
26.11.2008;4.560,50
25.11.2008;4.560,42
24.11.2008;4.554,33
21.11.2008;4.127,41
20.11.2008;4.220,20
19.11.2008;4.354,09
18.11.2008;4.579,47
17.11.2008;4.557,27
14.11.2008;4.710,24
13.11.2008;4.649,52
12.11.2008;4.620,80
11.11.2008;4.761,58
10.11.2008;5.025,53
07.11.2008;4.938,46
06.11.2008;4.813,57
05.11.2008;5.166,87
04.11.2008;5.278,04
03.11.2008;5.026,84
31.10.2008;4.987,97
30.10.2008;4.869,30
29.10.2008;4.808,69
28.10.2008;4.823,45
27.10.2008;4.334,64
24.10.2008;4.295,67
23.10.2008;4.519,70
22.10.2008;4.571,07
21.10.2008;4.784,41
20.10.2008;4.835,01
17.10.2008;4.781,33
16.10.2008;4.622,81
15.10.2008;4.861,63
14.10.2008;5.199,19
13.10.2008;5.062,45
10.10.2008;4.544,31
09.10.2008;4.887,00
08.10.2008;5.013,62
07.10.2008;5.326,63
06.10.2008;5.387,01
03.10.2008;5.797,03
02.10.2008;5.660,63
01.10.2008;5.806,33
30.09.2008;5.831,02
29.09.2008;5.807,08
26.09.2008;6.063,50
25.09.2008;6.173,03
24.09.2008;6.052,87
23.09.2008;6.068,53
22.09.2008;6.107,75
19.09.2008;6.143,42
18.09.2008;5.863,42
17.09.2008;5.860,98
16.09.2008;5.965,17
15.09.2008;6.064,16
12.09.2008;6.234,89
11.09.2008;6.178,90
10.09.2008;6.210,32
09.09.2008;6.233,41
08.09.2008;6.263,74
05.09.2008;6.127,44
04.09.2008;6.279,57
03.09.2008;6.467,49
02.09.2008;6.518,47
01.09.2008;6.421,80
29.08.2008;6.422,30
28.08.2008;6.420,54
27.08.2008;6.321,03
26.08.2008;6.340,52
25.08.2008;6.296,95
22.08.2008;6.342,42
21.08.2008;6.236,96
20.08.2008;6.317,80
19.08.2008;6.282,43
18.08.2008;6.432,88
15.08.2008;6.446,02
14.08.2008;6.442,21
13.08.2008;6.422,19
12.08.2008;6.585,87
11.08.2008;6.609,63
08.08.2008;6.561,65
07.08.2008;6.543,49
06.08.2008;6.561,39
05.08.2008;6.518,70
04.08.2008;6.349,81
01.08.2008;6.396,46
31.07.2008;6.479,56
30.07.2008;6.460,12
29.07.2008;6.398,80
28.07.2008;6.351,15
25.07.2008;6.436,71
24.07.2008;6.440,70
23.07.2008;6.536,09
22.07.2008;6.442,79
21.07.2008;6.424,84
18.07.2008;6.382,65
17.07.2008;6.271,27
16.07.2008;6.155,37
15.07.2008;6.081,70
14.07.2008;6.200,25
11.07.2008;6.153,30
10.07.2008;6.305,00
09.07.2008;6.386,46
08.07.2008;6.304,41
07.07.2008;6.395,75
04.07.2008;6.272,21
03.07.2008;6.353,74
02.07.2008;6.305,42
01.07.2008;6.315,94
30.06.2008;6.418,32
27.06.2008;6.421,91
26.06.2008;6.459,60
25.06.2008;6.617,84
24.06.2008;6.536,06
23.06.2008;6.589,46
20.06.2008;6.578,44
19.06.2008;6.721,17
18.06.2008;6.728,91
17.06.2008;6.796,16
16.06.2008;6.729,88
13.06.2008;6.765,32
12.06.2008;6.714,52
11.06.2008;6.650,26
10.06.2008;6.771,10
09.06.2008;6.815,63
06.06.2008;6.803,81
05.06.2008;6.941,83
04.06.2008;6.965,43
03.06.2008;7.019,13
02.06.2008;7.008,77
30.05.2008;7.096,79
29.05.2008;7.055,03
28.05.2008;7.033,84
27.05.2008;6.958,66
26.05.2008;6.953,84
23.05.2008;6.944,05
22.05.2008;7.070,33
21.05.2008;7.040,83
20.05.2008;7.118,50
19.05.2008;7.225,94
16.05.2008;7.156,55
15.05.2008;7.081,05
14.05.2008;7.083,24
13.05.2008;7.060,19
12.05.2008;7.035,95
09.05.2008;7.003,17
08.05.2008;7.071,90
07.05.2008;7.076,25
06.05.2008;7.017,10
05.05.2008;7.052,08
02.05.2008;7.043,23
